qid,answer,prompt_tokens,completion_tokens,total_tokens
summary,,877203,15987,893190
fc_a_001,AB,10502,1,10503
fc_a_002,AD,11026,1,11027
fc_a_003,A,10325,1,10326
fc_a_004,AD,11672,2,11674
fc_a_005,AB,10661,1,10662
fc_a_006,A,8626,1,8627
fc_a_007,BD,11226,1,11227
fc_a_008,D,10956,1,10957
fc_a_009,ABCD,10831,1647,12478
fc_a_010,B,9363,1,9364
fc_a_011,AD,9940,2,9942
fc_a_012,AC,11091,1,11092
fc_a_013,B,10853,1,10854
fc_a_014,B,9949,1,9950
fc_a_015,A,11549,1,11550
fc_a_016,ACD,10558,2,10560
fc_a_017,AD,11342,1,11343
fc_a_018,B,10735,1,10736
fc_a_019,BD,12934,1,12935
fc_a_020,AC,10343,1,10344
fin_a_001,ABCD,12059,1711,13770
fin_a_002,AD,13042,1,13043
fin_a_003,A,11582,1,11583
fin_a_004,ABCD,12364,642,13006
fin_a_005,AD,9910,1,9911
fin_a_006,A,11831,1,11832
fin_a_007,BD,12598,1,12599
fin_a_008,D,11403,1,11404
fin_a_009,AC,10440,1,10441
fin_a_010,A,10467,1,10468
fin_a_011,ABCD,12146,3199,15345
fin_a_012,ABCD,11399,2831,14230
fin_a_013,A,10570,1,10571
fin_a_014,ABCD,12644,1232,13876
fin_a_015,C,11798,1,11799
fin_a_016,AD,11238,1,11239
fin_a_017,ABCD,12075,540,12615
fin_a_018,A,12115,1,12116
fin_a_019,AB,11721,2,11723
fin_a_020,ABCD,11783,1730,13513
ins_a_001,B,10104,1,10105
ins_a_002,A,10099,1,10100
ins_a_003,D,11230,1,11231
ins_a_004,A,10774,1,10775
ins_a_005,BC,10495,1,10496
ins_a_006,A,10884,1,10885
ins_a_007,C,10665,1,10666
ins_a_008,AC,9530,1,9531
ins_a_009,C,9604,1,9605
ins_a_010,AB,11583,1,11584
ins_a_011,ABCD,10254,2,10256
ins_a_012,AD,10662,1,10663
ins_a_013,A,10219,1,10220
ins_a_014,ACD,11058,2,11060
ins_a_015,ABCD,10211,1388,11599
ins_a_016,C,8496,1,8497
ins_a_017,ABCD,10441,2,10443
ins_a_018,BC,11775,2,11777
ins_a_019,AD,8885,1,8886
ins_a_020,D,11090,1,11091
reg_a_001,CD,329,1,330
reg_a_002,CD,301,1,302
reg_a_003,A,209,1,210
reg_a_004,AC,308,1,309
reg_a_005,CD,317,1,318
reg_a_006,A,210,1,211
reg_a_007,BCD,327,2,329
reg_a_008,C,309,1,310
reg_a_009,BD,326,1,327
reg_a_010,B,238,1,239
reg_a_011,ACD,286,2,288
reg_a_012,ABD,266,2,268
reg_a_013,A,195,1,196
reg_a_014,AD,257,1,258
reg_a_015,C,265,1,266
reg_a_016,ABD,284,2,286
reg_a_017,AB,261,1,262
reg_a_018,A,210,1,211
reg_a_019,BD,295,1,296
reg_a_020,AB,282,1,283
res_a_001,ABC,9018,1,9019
res_a_002,AC,11258,1,11259
res_a_003,B,9113,1,9114
res_a_004,AB,10724,1,10725
res_a_005,ABC,9834,2,9836
res_a_006,A,11554,1,11555
res_a_007,B,7923,1,7924
res_a_008,B,9404,1,9405
res_a_009,A,8656,1,8657
res_a_010,A,9623,1,9624
res_a_011,AC,8479,1,8480
res_a_012,AC,10907,1,10908
res_a_013,B,10884,1,10885
res_a_014,ABC,11395,2,11397
res_a_015,A,12488,1,12489
res_a_016,ACD,11871,2,11873
res_a_017,ABCD,11676,961,12637
res_a_018,A,15095,1,15096
res_a_019,AB,12605,1,12606
res_a_020,ABD,13495,2,13497
