qid,answer,prompt_tokens,completion_tokens,total_tokens
summary,,1013661,2908,1016569
fc_a_001,AB,10406,1,10407
fc_a_002,AD,10930,1,10931
fc_a_003,A,10229,1,10230
fc_a_004,AD,11576,1,11577
fc_a_005,AB,10565,1,10566
fc_a_006,A,8530,1,8531
fc_a_007,BD,11130,1,11131
fc_a_008,D,10860,1,10861
fc_a_009,ABCD,10735,491,11226
fc_a_010,B,9267,1,9268
fc_a_011,AD,9844,1,9845
fc_a_012,AC,10995,1,10996
fc_a_013,B,10757,1,10758
fc_a_014,ABCD,9853,643,10496
fc_a_015,B,11453,1,11454
fc_a_016,ACD,10462,2,10464
fc_a_017,AD,11246,1,11247
fc_a_018,B,10639,1,10640
fc_a_019,BD,12838,1,12839
fc_a_020,AC,10247,1,10248
fin_a_001,ABD,11963,2,11965
fin_a_002,ABD,12946,2,12948
fin_a_003,A,11486,1,11487
fin_a_004,ABD,12268,2,12270
fin_a_005,AD,9814,1,9815
fin_a_006,A,11735,1,11736
fin_a_007,BD,12502,1,12503
fin_a_008,A,11307,1,11308
fin_a_009,AC,10344,1,10345
fin_a_010,A,10371,1,10372
fin_a_011,AC,12050,1,12051
fin_a_012,AD,11303,1,11304
fin_a_013,A,10474,1,10475
fin_a_014,B,12548,1,12549
fin_a_015,C,11702,1,11703
fin_a_016,AD,11142,1,11143
fin_a_017,AC,11979,1,11980
fin_a_018,A,12019,1,12020
fin_a_019,AB,11625,1,11626
fin_a_020,ABCD,11687,1662,13349
ins_a_001,B,9720,1,9721
ins_a_002,A,10003,1,10004
ins_a_003,D,11134,1,11135
ins_a_004,A,10678,1,10679
ins_a_005,ABC,10399,1,10400
ins_a_006,A,10788,1,10789
ins_a_007,C,10569,1,10570
ins_a_008,AC,9434,1,9435
ins_a_009,C,9508,1,9509
ins_a_010,AB,11487,1,11488
ins_a_011,ABCD,10158,2,10160
ins_a_012,AD,10566,1,10567
ins_a_013,A,10123,1,10124
ins_a_014,ACD,10962,2,10964
ins_a_015,AB,10115,1,10116
ins_a_016,CD,8400,1,8401
ins_a_017,ABCD,10345,2,10347
ins_a_018,BC,11679,1,11680
ins_a_019,AD,8789,1,8790
ins_a_020,D,10994,1,10995
reg_a_001,ACD,7249,2,7251
reg_a_002,BC,6449,1,6450
reg_a_003,B,7100,1,7101
reg_a_004,AC,7218,1,7219
reg_a_005,AC,10498,1,10499
reg_a_006,A,10075,1,10076
reg_a_007,C,1029,1,1030
reg_a_008,A,1803,1,1804
reg_a_009,B,1796,1,1797
reg_a_010,B,11190,1,11191
reg_a_011,AD,10518,1,10519
reg_a_012,ABD,7860,2,7862
reg_a_013,A,7463,1,7464
reg_a_014,ABD,8810,2,8812
reg_a_015,C,9064,1,9065
reg_a_016,ABD,6756,2,6758
reg_a_017,AB,6733,1,6734
reg_a_018,A,10024,1,10025
reg_a_019,A,9428,1,9429
reg_a_020,ABD,8317,2,8319
res_a_001,ABC,8922,1,8923
res_a_002,AC,11162,1,11163
res_a_003,B,9017,1,9018
res_a_004,AB,10628,1,10629
res_a_005,ABC,9738,1,9739
res_a_006,A,11458,1,11459
res_a_007,B,7827,1,7828
res_a_008,D,9572,1,9573
res_a_009,A,8817,1,8818
res_a_010,A,9527,1,9528
res_a_011,AC,8383,1,8384
res_a_012,AC,10811,1,10812
res_a_013,B,10788,1,10789
res_a_014,ABCD,11299,2,11301
res_a_015,A,12392,1,12393
res_a_016,ACD,11775,2,11777
res_a_017,AD,11580,1,11581
res_a_018,A,14999,1,15000
res_a_019,AB,12509,1,12510
res_a_020,ABD,13399,2,13401
